id	pokemon	primaryColor	secondaryColor	verified
58	Mr_Mime	#E56387	#FFCED5	TRUE
59	Scyther	#92C587	#F6F0CF	TRUE
60	Jynx	#C44552	#643187	TRUE
61	Electabuzz	#F5DB77	#14175E	TRUE
62	Magmar	#F5D477	#F0664E	TRUE
63	Pinsir	#BCB1AB	#CFD4D8	TRUE
64	Tauros	#D8A058	#887E6F	TRUE
65	Magikarp	#E87839	#F6F0CF	TRUE
66	Lapras	#6BA7D4	#FFF0DA	TRUE
67	Ditto	#F2ABC0	#DA74AC	TRUE
68	Eevee	#CA9761	#7E5621	TRUE
69	Porygon	#E7757C	#6BC7C5	TRUE
70	Omanyte	#DDDCCC	#73CEE2	TRUE
71	Kabuto	#C18335	#4E4E48	TRUE
72	Aerodactyl	#D4BAD3	#B196C5	TRUE
73	Snorlax	#326583	#E3DACE	TRUE
74	Articuno	#8dc0e6	#5b99bb	TRUE
75	Zapdos	#f8de8a	#af9354	TRUE
76	Moltres	#fccf81	#e6845f	TRUE
77	Dratini	#90AED4	#EFEAE6	TRUE
78	Mewtwo	#c8d3ea	#8d96b5	TRUE
79	Mew	#eedfe9	#e7bbce	TRUE
80	Chikorita	#CBDAAE	#86C07C	TRUE
81	Cyndaquil	#185E62	#EED9AC	TRUE
82	Totodile	#96B8C1	#BF8390	TRUE
83	Sentret	#AA8374	#FDFAEE	TRUE
84	Hoothoot	#A88F77	#3A3836	TRUE
85	Ledyba	#E4845F	#291F1D	TRUE
86	Spinarak	#A4D08C	#F6DA8C	TRUE
87	Chinchou	#728ABD	#EEDC9D	TRUE
88	Togepi	#EADEB2	#BDC4CE	TRUE
89	Natu	#85BD57	#E9CA67	TRUE
90	Mareep	#F2E5C2	#5A84B1	TRUE
91	Marill	#52B3E4	#E1F4F6	TRUE
92	Sudowoodo	#AE9F85	#88AB72	TRUE
93	Hoppip	#EB92A8	#A8CF86	TRUE
94	Aipom	#BA9DB7	#DBC4B1	TRUE
95	Sunkern	#EAD887	#83B177	TRUE
96	Yanma	#BC836F	#A6AD72	TRUE
97	Wooper	#97C3DA	#B593A0	TRUE
98	Murkrow	#3B5670	#F0D3A4	TRUE
99	Misdreavus	#8994A0	#B97F85	TRUE
100	Unown	#51626E	#CED6E0	TRUE
101	Wobbuffet	#54ADC9	#2E2F33	TRUE
102	Girafarig	#E7AB3D	#39281F	TRUE
103	Pineco	#1A4146	#8FABA0	TRUE
104	Dunsparce	#F2DF93	#4B908C	TRUE
105	Gligar	#D18EB2	#598ABC	TRUE
106	Snubbull	#E78C96	#3B2F2D	TRUE
107	Qwilfish	#4A7471	#E5EAB4	TRUE
108	Shuckle	#942D2B	#F5CF6C	TRUE
109	Heracross	#2B5978	#93AFC1	TRUE
110	Sneasel	#5F8795	#D76B68	TRUE
111	Teddiursa	#E09659	#FBE699	TRUE
112	Slugma	#E69881	#F4CC94	TRUE
113	Swinub	#B28B73	#D88C89	TRUE
114	Corsola	#e697a2	#ccd5db	TRUE
115	Remoraid	#AEC8B7	#709687	TRUE
116	Delibird	#FFFFFF	#000000	FALSE
117	Mantine	#425161	#EDDEE8	TRUE
118	Skarmory	#D2D9E9	#923A3B	TRUE
119	Houndour	#867770	#B5816C	TRUE
120	Phanpy	#9CCFCF	#D06D52	TRUE
121	Stantler	#BB9780	#EDDE9A	TRUE
122	Smeargle	#FFFFFF	#000000	TRUE
123	Tyrogue	#D7C1D0	#926E4A	TRUE
124	Miltank	#F1BABE	#EEE0B7	TRUE
125	Raikou	#FFFFFF	#000000	FALSE
126	Entei	#FFFFFF	#000000	FALSE
127	Suicune	#FFFFFF	#000000	FALSE
128	Larvitar	#B5BF96	#595755	TRUE
129	Lugia	#FFFFFF	#000000	FALSE
130	Ho-oh	#FFFFFF	#000000	FALSE
131	Celebi	#FFFFFF	#000000	FALSE
